Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7896527,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",3,Bloomsbury USA Children's,Hardcover,406,2012,2012,2015/12/01,2015/11/18,,,read,,,,1,0
16158559,Undisputed Truth,Mike Tyson,"Tyson, Mike",Larry Sloman,"=""0399161287""","=""9780399161285""",5,Blue Rider Press,Hardcover,592,2013,2013,2016/01/17,2016/02/01,,,read,,,,1,0
18693910,Barbarian Days: A Surfing Life,William Finnegan,"Finnegan, William",,"=""1594203474""","=""9781594203473""",4,Penguin Press,Hardcover,447,2015,2015,2015/12/28,2016/02/01,,,read,,,,1,0
25074850,"The Girl in the Spider's Web (Millennium, #4)",David Lagercrantz,"Lagercrantz, David",,"=""0385354282""","=""9780385354288""",4,Knopf,Hardcover,400,2015,2015,2015/11/17,2015/07/28,,,read,,,,1,0
7116709,"The Left Hand of God (The Left Hand of God, #1)",Paul  Hoffman,"Hoffman, Paul",,"=""0718155181""","=""9780718155186""",2,Michael Joseph,Hardcover,436,2010,2010,2015/09/29,2015/08/28,,,read,,,,1,0
21535271,"The Slow Regard of Silent Things (The Kingkiller Chronicle, #2.5)",Patrick Rothfuss,"Rothfuss, Patrick",Nate Taylor,"=""0756410436""","=""9780756410438""",0,DAW Books,Hardcover,159,2014,2014,,2015/09/16,to-read,to-read (#38),to-read,,,,0,0
13202200,"Casting Off (Wool, #3)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",4,Broad Reach Publishing,Kindle Edition,122,2011,2011,2015/08/24,2015/08/29,,,read,,,,1,0
13425846,"The Stranded (Wool, #5)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",1,Broad Reach Publishing ,Kindle Edition,254,2012,2012,,2015/08/29,,,read,,,,1,0
13314945,"The Unraveling (Wool, #4)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",2,Broad Reach Publishing,Kindle Edition,166,2011,2011,,2015/08/29,,,read,,,,1,0
13178410,"Proper Gauge (Wool, #2)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",4,Broad Reach Publishing,Kindle Edition,106,2011,2011,2015/08/23,2015/08/29,,,read,,,,1,0
13453029,"Wool Omnibus (Silo, #1)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",4,Broad Reach Publishing,Paperback,509,2012,2012,2015/08/28,2015/08/14,,,read,,,,1,0
66693,"The Crystal Shard (Forgotten Realms: The Icewind Dale, #1; Legend of Drizzt, #4)",R.A. Salvatore,"Salvatore, R.A.",,"=""0786942460""","=""9780786942466""",2,Wizards of the Coast,Mass Market Paperback,344,2024,1988,2015/08/10,2015/08/14,,,read,,,,1,0
8752885,"The Dragon's Path (The Dagger and the Coin, #1)",Daniel Abraham,"Abraham, Daniel",,"=""1841498874""","=""9781841498874""",0,Orbit,Paperback,555,2011,2011,,2015/07/28,to-read,to-read (#37),to-read,,,,0,0
14064,I Am Legend,Richard Matheson,"Matheson, Richard",,"=""1857988094""","=""9781857988093""",4,Millennium,Paperback,160,1999,1954,2015/06/17,2012/10/28,,,read,,,,1,0
2845024,Anathem,Neal Stephenson,"Stephenson, Neal",,"=""0061474096""","=""9780061474095""",0,William Morrow,Hardcover,937,2008,2008,,2015/07/22,to-read,to-read (#36),to-read,,,,0,0
51964,"Old Man's War (Old Man's War, #1)",John Scalzi,"Scalzi, John",,"=""0765348276""","=""9780765348272""",0,Tor Books,Mass Market Paperback,355,2007,2005,,2015/07/22,to-read,to-read (#35),to-read,,,,0,0
66695,"Sojourn (Forgotten Realms: The Dark Elf Trilogy, #3; Legend of Drizzt, #3)",R.A. Salvatore,"Salvatore, R.A.",,"=""1560760478""","=""9781560760474""",4,Wizards of the Coast,Mass Market Paperback,320,1991,1991,2015/07/22,2015/07/22,,,read,,,,1,0
66678,"Exile (Forgotten Realms: The Dark Elf Trilogy, #2; Legend of Drizzt, #2)",R.A. Salvatore,"Salvatore, R.A.",,"=""0786939834""","=""9780786939831""",5,Wizards of the Coast,Mass Market Paperback,343,2025,1990,2015/07/19,2015/07/22,,,read,,,,1,0
49176,Games People Play,Eric Berne,"Berne, Eric",,"=""0345032799""","=""9780345032799""",3,Penguin,Mass Market Paperback,192,1964,1964,2015/07/14,2013/12/31,,,read,,,,1,0
216363,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",,"=""0679740678""","=""9780679740674""",2,Vintage,Paperback,259,1992,1962,2015/07/07,2015/07/22,,,read,,,,1,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",4,Crown Publishers,Hardcover,369,2014,2011,2015/07/01,2015/07/22,,,read,,,,1,0
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",3,Dutton Books,Hardcover,313,2012,2012,2014/07/19,2014/07/16,,,read,,,,1,0
415,Gravity’s Rainbow,Thomas Pynchon,"Pynchon, Thomas",,"=""0143039946""","=""9780143039945""",0,Penguin Books,Paperback,776,2006,1973,,2014/11/22,to-read,to-read (#34),to-read,,,,0,0
4306458,"On Scandal: Moral Disturbances in Society, Politics and Art (Structural Analysis in the Social Sciences, No. 31)",Ari Adut,"Adut, Ari",,"=""0521895898""","=""9780521895897""",0,Cambridge University Press,Hardcover,374,2008,2008,,2014/11/22,to-read,to-read (#33),to-read,,,,0,0
21032488,"The Doors of Stone (The Kingkiller Chronicle, #3)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0575081449""","=""9780575081444""",0,Gollancz,Hardcover,896,,,,2013/12/06,to-read,to-read (#12),to-read,,,,0,0
